N,P,T,X_ZN,component,internal_dof,vertex,NP,GM,MU,X,Y,Phase,NP(FCC_A1),NP(HCP_A3),NP(LIQUID)
1.0,101325.0,520.0,0.4,AL,0,0,0.6602508193428287,-19425.23745338322,-16744.2939632843,0.9028103550180313,0.9028103550180313,FCC_A1,,,
1.0,101325.0,520.0,0.4,AL,0,1,0.3397491806571713,-19425.23745338322,-16744.2939632843,0.011534165823656493,0.011534165823656493,HCP_A3,,,
1.0,101325.0,520.0,0.4,AL,0,2,,-19425.23745338322,-16744.2939632843,,,,,,
1.0,101325.0,520.0,0.4,AL,1,0,0.6602508193428287,-19425.23745338322,-16744.2939632843,0.9028103550180313,0.09718964498196869,FCC_A1,,,
1.0,101325.0,520.0,0.4,AL,1,1,0.3397491806571713,-19425.23745338322,-16744.2939632843,0.011534165823656493,0.9884658341763435,HCP_A3,,,
1.0,101325.0,520.0,0.4,AL,1,2,,-19425.23745338322,-16744.2939632843,,,,,,
1.0,101325.0,520.0,0.4,ZN,0,0,0.6602508193428287,-19425.23745338322,-23446.652625948627,0.09718964498196869,0.9028103550180313,FCC_A1,,,
1.0,101325.0,520.0,0.4,ZN,0,1,0.3397491806571713,-19425.23745338322,-23446.652625948627,0.9884658341763435,0.011534165823656493,HCP_A3,,,
1.0,101325.0,520.0,0.4,ZN,0,2,,-19425.23745338322,-23446.652625948627,,,,,,
1.0,101325.0,520.0,0.4,ZN,1,0,0.6602508193428287,-19425.23745338322,-23446.652625948627,0.09718964498196869,0.09718964498196869,FCC_A1,,,
1.0,101325.0,520.0,0.4,ZN,1,1,0.3397491806571713,-19425.23745338322,-23446.652625948627,0.9884658341763435,0.9884658341763435,HCP_A3,,,
1.0,101325.0,520.0,0.4,ZN,1,2,,-19425.23745338322,-23446.652625948627,,,,,,
1.0,101325.0,530.0,0.4,AL,0,0,0.6685639226560002,-19931.001731600372,-17206.089496089186,0.8910501055328329,0.8910501055328329,FCC_A1,,,
1.0,101325.0,530.0,0.4,AL,0,1,0.3314360773439999,-19931.001731600372,-17206.089496089186,0.012901571235662858,0.012901571235662854,HCP_A3,,,
1.0,101325.0,530.0,0.4,AL,0,2,,-19931.001731600372,-17206.089496089186,,,,,,
1.0,101325.0,530.0,0.4,AL,1,0,0.6685639226560002,-19931.001731600372,-17206.089496089186,0.8910501055328329,0.1089498944671671,FCC_A1,,,
1.0,101325.0,530.0,0.4,AL,1,1,0.3314360773439999,-19931.001731600372,-17206.089496089186,0.012901571235662858,0.9870984287643371,HCP_A3,,,
1.0,101325.0,530.0,0.4,AL,1,2,,-19931.001731600372,-17206.089496089186,,,,,,
1.0,101325.0,530.0,0.4,ZN,0,0,0.6685639226560002,-19931.001731600372,-24018.37003760044,0.1089498944671671,0.8910501055328329,FCC_A1,,,
1.0,101325.0,530.0,0.4,ZN,0,1,0.3314360773439999,-19931.001731600372,-24018.37003760044,0.9870984287643373,0.012901571235662854,HCP_A3,,,
1.0,101325.0,530.0,0.4,ZN,0,2,,-19931.001731600372,-24018.37003760044,,,,,,
1.0,101325.0,530.0,0.4,ZN,1,0,0.6685639226560002,-19931.001731600372,-24018.37003760044,0.1089498944671671,0.1089498944671671,FCC_A1,,,
1.0,101325.0,530.0,0.4,ZN,1,1,0.3314360773439999,-19931.001731600372,-24018.37003760044,0.9870984287643373,0.9870984287643371,HCP_A3,,,
1.0,101325.0,530.0,0.4,ZN,1,2,,-19931.001731600372,-24018.37003760044,,,,,,
